name,robo a mano armada,robo de vehiculos,robo piraña,lesiones leves,robo,lesiones graves,hurto,vandalismo,fecha
denuncia 84,0,2,0,2,1,2,3,0,01/11/2014
denuncia 85,0,1,0,1,3,1,3,0,10/03/2011
denuncia 86,0,1,0,1,1,2,2,0,06/04/2012
denuncia 87,0,1,0,2,3,2,3,0,01/05/2010
denuncia 88,0,2,0,2,2,2,1,0,12/10/2012
denuncia 89,0,2,0,1,2,2,3,0,05/05/2012
denuncia 90,0,2,0,1,3,1,2,0,03/08/2017
denuncia 91,0,2,0,1,1,2,3,0,01/08/2019
denuncia 92,0,2,0,1,3,1,3,0,08/01/2013
denuncia 93,0,2,0,1,3,2,1,0,16/11/2012
denuncia 94,0,1,0,2,3,1,1,0,27/06/2018
denuncia 95,0,2,0,2,1,1,2,0,23/05/2013
denuncia 96,0,2,0,1,2,1,3,0,09/02/2010
denuncia 97,0,2,0,1,1,2,2,0,01/11/2012
denuncia 98,0,1,0,1,2,2,2,0,19/06/2014
denuncia 99,0,1,0,2,3,1,2,0,27/03/2020
denuncia 100,0,1,0,1,3,1,3,0,01/10/2018
denuncia 101,0,2,0,2,3,1,3,0,03/01/2020
denuncia 102,0,1,0,2,3,2,2,0,22/05/2016
denuncia 103,0,2,0,2,1,1,1,0,11/05/2017
denuncia 104,0,2,0,2,3,2,3,0,14/06/2012
denuncia 105,0,2,0,1,2,1,3,0,13/08/2013
denuncia 106,0,2,0,1,1,1,3,0,04/03/2011
denuncia 107,0,1,0,2,3,1,2,0,13/02/2014
denuncia 108,0,1,0,2,1,2,1,0,17/01/2013
denuncia 109,0,1,0,1,2,1,2,0,30/01/2019
denuncia 110,0,2,0,1,1,1,1,0,14/05/2021
denuncia 111,0,1,0,1,1,2,3,0,31/07/2019
denuncia 112,0,1,0,1,1,2,3,0,13/04/2019
denuncia 113,0,2,0,1,2,1,2,0,14/07/2019
denuncia 114,0,2,0,1,3,1,2,0,15/06/2014
denuncia 115,0,2,0,1,3,2,2,0,10/02/2011
denuncia 116,0,1,0,1,3,1,3,0,06/04/2019
denuncia 117,0,1,0,2,2,2,3,0,19/05/2011
denuncia 118,0,2,0,2,2,1,2,0,19/01/2020
denuncia 119,0,2,0,2,1,2,3,0,09/09/2017
denuncia 120,0,1,0,1,2,2,2,0,11/12/2013
denuncia 121,0,2,0,1,2,1,1,0,23/11/2012
denuncia 122,0,2,0,1,1,1,2,0,31/03/2016
denuncia 123,0,2,0,2,2,1,2,0,16/02/2014
denuncia 124,0,2,0,2,1,2,1,0,13/09/2019
denuncia 125,0,1,0,2,3,1,1,0,05/12/2019
denuncia 126,0,1,0,2,3,2,2,0,08/09/2018
denuncia 127,0,2,0,1,2,1,1,0,21/10/2017
denuncia 128,0,2,0,2,1,1,1,0,03/04/2017
denuncia 129,0,2,0,2,1,1,2,0,12/07/2020
denuncia 130,0,1,0,2,2,1,3,0,17/11/2010
denuncia 131,0,1,0,1,3,2,3,0,17/11/2011
denuncia 132,0,1,0,2,1,1,3,0,04/07/2017
denuncia 133,0,2,0,1,3,1,2,0,13/12/2012
denuncia 134,0,2,0,1,1,2,2,0,02/08/2018
denuncia 135,0,2,0,2,2,2,3,0,11/08/2021
denuncia 136,0,2,0,1,1,2,3,0,13/12/2017
denuncia 137,0,1,0,2,2,1,2,0,11/03/2018
denuncia 138,0,2,0,1,2,1,1,0,01/03/2018
denuncia 139,0,1,0,2,3,2,1,0,19/09/2016
denuncia 140,0,2,0,1,2,1,2,0,05/11/2013
denuncia 141,0,1,0,1,3,2,1,0,01/01/2019
denuncia 142,0,2,0,2,2,1,1,0,19/07/2020
denuncia 143,0,2,0,1,1,1,2,0,29/06/2021
denuncia 144,0,2,0,1,1,2,1,0,04/01/2015
denuncia 145,0,2,0,1,1,1,3,0,21/12/2016
denuncia 146,0,2,0,2,3,1,1,0,27/12/2020
denuncia 147,0,1,0,2,2,2,2,0,17/02/2014
denuncia 148,0,1,0,1,2,1,3,0,14/07/2016
denuncia 149,0,2,0,2,3,2,3,0,10/07/2018
denuncia 150,0,1,0,1,2,2,3,0,06/10/2020
denuncia 151,0,2,0,2,2,2,3,0,26/03/2012
denuncia 152,0,2,0,1,2,1,3,0,15/10/2010
denuncia 153,0,1,0,1,1,2,3,0,18/12/2018
denuncia 154,0,2,0,2,2,2,3,0,22/04/2013
denuncia 155,0,2,0,2,2,2,2,0,16/09/2012
denuncia 156,0,2,0,2,2,2,3,0,09/09/2011
denuncia 157,0,2,0,1,3,1,2,0,07/07/2020
denuncia 158,0,1,0,2,2,1,2,0,16/03/2013
denuncia 159,0,1,0,2,1,1,1,0,02/04/2012
denuncia 160,0,1,0,2,1,2,2,0,18/12/2015
denuncia 161,0,1,0,2,1,2,1,0,21/12/2017
denuncia 162,0,1,0,2,2,1,1,0,29/06/2012
denuncia 163,0,2,0,2,2,2,3,0,08/12/2017
denuncia 164,0,1,0,2,2,2,1,0,04/06/2014
denuncia 165,0,1,0,1,3,2,2,0,26/07/2014
denuncia 166,0,2,0,1,2,2,2,0,24/07/2016
denuncia 167,0,1,0,2,3,1,3,0,20/08/2010
denuncia 168,0,2,0,1,1,2,3,0,28/08/2012
denuncia 169,0,1,0,2,1,2,2,0,08/08/2010
denuncia 170,0,2,0,1,1,2,2,0,12/09/2017
denuncia 171,0,2,0,2,3,2,1,0,12/11/2017
denuncia 172,0,2,0,2,1,1,1,0,07/04/2014
denuncia 173,0,1,0,1,3,1,2,0,06/12/2012
denuncia 174,0,2,0,2,2,2,3,0,29/09/2014
denuncia 175,0,1,0,1,3,2,3,0,08/02/2020
denuncia 176,0,2,0,2,1,1,2,0,17/12/2019
denuncia 177,0,1,0,1,2,2,2,0,16/02/2013
denuncia 178,0,2,0,1,3,1,2,0,25/09/2013
denuncia 179,0,1,0,2,1,1,1,0,15/06/2021
denuncia 180,0,2,0,1,3,1,1,0,10/05/2011
denuncia 181,0,1,0,2,3,1,3,0,13/04/2012
denuncia 182,0,2,0,2,1,1,1,0,08/02/2018
denuncia 183,0,1,0,2,3,1,3,0,15/03/2011
denuncia 184,0,2,0,1,2,1,1,0,03/06/2018
denuncia 185,0,1,0,2,1,1,2,0,20/06/2017
denuncia 186,0,2,0,2,2,1,1,0,21/03/2010
denuncia 187,0,2,0,2,1,2,2,0,20/06/2020
denuncia 188,0,1,0,1,2,1,3,0,19/04/2011
denuncia 189,0,1,0,1,1,1,3,0,20/06/2015
denuncia 190,0,1,0,2,2,2,2,0,10/02/2018
denuncia 191,0,1,0,1,3,1,2,0,21/12/2019
denuncia 192,0,1,0,1,1,1,1,0,07/12/2021
denuncia 193,0,1,0,1,2,2,1,0,16/03/2013
denuncia 194,0,1,0,1,3,2,1,0,04/10/2015
denuncia 195,0,1,0,1,1,2,2,0,08/10/2017
denuncia 196,0,2,0,1,3,1,2,0,17/04/2015
denuncia 197,0,2,0,1,3,1,2,0,01/09/2020
denuncia 198,0,1,0,1,2,1,2,0,18/04/2020
denuncia 199,0,2,0,1,3,2,1,0,22/06/2016
denuncia 200,0,2,0,1,1,2,1,0,20/03/2011
denuncia 201,0,1,0,1,2,1,1,0,03/08/2017
denuncia 202,0,2,0,1,2,2,2,0,01/06/2014
denuncia 203,0,1,0,1,3,1,2,0,10/12/2021
denuncia 204,0,2,0,2,2,2,2,0,26/01/2011
denuncia 205,0,2,0,1,2,1,1,0,07/06/2015
denuncia 206,0,2,0,2,1,1,1,0,22/03/2017
denuncia 207,0,2,0,1,3,1,3,0,17/09/2015
denuncia 208,0,2,0,2,1,2,1,0,13/12/2012
denuncia 209,0,1,0,2,2,2,2,0,28/06/2012
denuncia 210,0,1,0,1,2,2,2,0,23/03/2012
denuncia 211,0,1,0,2,1,2,1,0,23/07/2018
denuncia 212,0,1,0,1,3,2,3,0,13/04/2017
denuncia 213,0,2,0,2,3,2,2,0,10/11/2018
denuncia 214,0,2,0,1,1,1,3,0,23/01/2010
denuncia 215,0,1,0,2,1,1,1,0,11/07/2019
denuncia 216,0,2,0,2,3,2,1,0,20/03/2010
denuncia 217,0,2,0,2,1,2,2,0,23/07/2018
denuncia 218,0,2,0,2,2,2,2,0,20/06/2013
denuncia 219,0,2,0,2,1,2,1,0,14/03/2020
denuncia 220,0,1,0,1,3,1,3,0,07/03/2016
denuncia 221,0,1,0,1,1,2,3,0,02/02/2013
denuncia 222,0,2,0,1,1,2,2,0,02/05/2012
denuncia 223,0,1,0,1,1,1,3,0,21/10/2021
denuncia 224,0,2,0,1,2,1,1,0,31/08/2012
denuncia 225,0,1,0,1,1,2,2,0,06/06/2019
denuncia 226,0,1,0,1,3,2,1,0,07/05/2019
denuncia 227,0,2,0,1,3,2,2,0,03/09/2015
denuncia 228,0,1,0,1,1,2,1,0,06/11/2021
denuncia 229,0,2,0,1,2,2,1,0,08/06/2019
denuncia 230,0,2,0,2,3,2,3,0,12/02/2016
denuncia 231,0,1,0,1,3,1,3,0,26/10/2021
denuncia 232,0,2,0,1,3,2,1,0,01/08/2014
denuncia 233,0,1,0,1,3,2,1,0,05/04/2018
denuncia 234,0,2,0,2,3,1,3,0,17/05/2020
denuncia 235,0,1,0,1,2,2,2,0,10/03/2015
denuncia 236,0,1,0,1,1,2,2,0,13/07/2013
denuncia 237,0,1,0,1,3,1,2,0,16/04/2011
denuncia 238,0,2,0,1,2,1,1,0,29/08/2020
denuncia 239,0,2,0,2,3,2,1,0,16/04/2013
denuncia 240,0,1,0,1,1,1,3,0,25/03/2014
denuncia 241,0,1,0,2,1,1,1,0,21/05/2017
denuncia 242,0,1,0,1,1,1,3,0,21/03/2020
denuncia 243,0,2,0,1,1,1,2,0,04/08/2013
denuncia 244,0,2,0,1,3,2,3,0,10/02/2016
denuncia 245,0,2,0,1,3,1,2,0,13/07/2011
denuncia 246,0,2,0,2,1,2,1,0,24/07/2012
denuncia 247,0,1,0,2,1,2,1,0,24/03/2021
denuncia 248,0,1,0,2,3,1,1,0,26/07/2012
denuncia 249,0,2,0,2,3,1,3,0,04/08/2019
denuncia 250,0,2,0,2,2,1,1,0,14/01/2011
denuncia 251,0,2,0,1,1,2,1,0,20/10/2019
denuncia 252,0,2,0,2,3,1,2,0,04/05/2018
denuncia 253,0,2,0,2,2,2,3,0,14/05/2012
denuncia 254,0,1,0,1,1,2,1,0,26/04/2012
denuncia 255,0,1,0,1,1,1,3,0,24/03/2020
denuncia 256,0,2,0,1,1,2,3,0,15/02/2011
denuncia 257,0,2,0,1,3,2,2,0,11/02/2012
denuncia 258,0,1,0,1,1,2,1,0,08/08/2017
denuncia 259,0,1,0,2,2,1,3,0,05/06/2010
denuncia 260,0,2,0,1,3,2,1,0,03/09/2014
denuncia 261,0,2,0,2,3,2,2,0,16/06/2013
denuncia 262,0,2,0,1,3,1,3,0,07/05/2010
denuncia 263,0,2,0,1,2,1,3,0,24/11/2021
denuncia 264,0,2,0,1,1,1,1,0,03/12/2011
denuncia 265,0,2,0,2,2,1,1,0,08/03/2018
denuncia 266,0,2,0,2,2,1,3,0,18/04/2019
denuncia 267,0,1,0,2,3,1,3,0,16/05/2020
denuncia 268,0,1,0,1,2,1,2,0,12/03/2015
denuncia 269,0,1,0,2,3,2,1,0,30/11/2012
denuncia 270,0,2,0,1,2,1,3,0,07/08/2015
denuncia 271,0,2,0,2,1,1,1,0,03/01/2018
denuncia 272,0,1,0,2,1,2,2,0,26/10/2019
denuncia 273,0,1,0,2,2,1,3,0,10/08/2010
denuncia 274,0,1,0,2,2,1,2,0,18/06/2010
denuncia 275,0,2,0,1,2,1,2,0,25/02/2012
denuncia 276,0,1,0,2,3,1,2,0,26/01/2019
denuncia 277,0,2,0,1,1,2,2,0,23/04/2019
denuncia 278,0,2,0,2,3,1,3,0,02/07/2010
denuncia 279,0,2,0,1,1,2,2,0,28/11/2018
denuncia 280,0,2,0,1,1,2,3,0,02/05/2012
denuncia 281,0,1,0,1,1,1,3,0,07/11/2011
denuncia 282,0,1,0,2,2,2,3,0,05/10/2017
denuncia 283,0,2,0,2,1,1,3,0,10/02/2016
denuncia 284,0,1,0,1,2,1,1,0,19/01/2020
denuncia 285,0,1,0,1,1,2,2,0,20/02/2014
denuncia 286,0,2,0,2,1,1,3,0,21/06/2021
denuncia 287,0,2,0,1,2,2,1,0,20/12/2010
denuncia 288,0,1,0,2,2,1,1,0,07/02/2021
denuncia 289,0,1,0,2,2,2,1,0,06/09/2014
denuncia 290,0,2,0,2,1,2,3,0,15/04/2012
denuncia 291,0,1,0,1,3,2,3,0,20/05/2017
denuncia 292,0,1,0,2,1,2,3,0,17/05/2013
denuncia 293,0,1,0,2,3,2,3,0,17/09/2016
denuncia 294,0,2,0,1,1,2,1,0,18/08/2012
denuncia 295,0,2,0,1,1,2,3,0,07/09/2016
denuncia 296,0,2,0,1,1,1,1,0,02/02/2021
denuncia 297,0,1,0,2,3,1,2,0,22/01/2017
denuncia 298,0,1,0,2,1,2,2,0,22/02/2017
denuncia 299,0,2,0,1,2,2,1,0,05/04/2016
denuncia 300,0,1,0,2,3,1,2,0,14/05/2015
denuncia 301,0,1,0,1,2,2,1,0,17/06/2017
denuncia 302,0,1,0,1,1,1,2,0,02/05/2020
denuncia 303,0,2,0,2,2,2,2,0,07/04/2016
denuncia 304,0,2,0,1,3,1,3,0,09/12/2016
denuncia 305,0,1,0,2,2,2,2,0,28/03/2017
denuncia 306,0,1,0,2,2,2,2,0,15/11/2013
denuncia 307,0,1,0,2,3,2,2,0,23/03/2010
denuncia 308,0,2,0,1,3,2,2,0,30/06/2015
denuncia 309,0,2,0,1,1,1,2,0,11/07/2019
denuncia 310,0,1,0,2,2,1,1,0,26/02/2017
denuncia 311,0,1,0,2,1,1,1,0,30/06/2021
denuncia 312,0,1,0,1,2,1,2,0,13/06/2011
denuncia 313,0,1,0,1,2,2,3,0,03/09/2013
denuncia 314,0,1,0,1,1,2,3,0,26/09/2019
denuncia 315,0,1,0,1,1,1,2,0,07/01/2011
denuncia 316,0,1,0,1,2,2,1,0,27/04/2015
denuncia 317,0,1,0,2,2,2,1,0,22/05/2021
denuncia 318,0,2,0,1,3,2,1,0,25/11/2014
denuncia 319,0,1,0,2,3,2,2,0,25/12/2019
denuncia 320,0,1,0,2,1,1,1,0,06/03/2012
